Title,Source
"Chicago Mayor Lightfoot ousted; Vallas, Johnson in runoff",AP NEWS
"Lightfoot is out — with Vallas in strong lead, expected to face Johnson in runoff",Chicago Sun-Times
"Mayor Lori Lightfoot concedes defeat, setting stage for Chicago's mayoral race to be between Brandon Johnson and Paul Vallas",Chicago Tribune
Brandon Johnson wins Chicago mayor's race,Axios
Brandon Johnson joining crowded race for Chicago mayor,Chicago Sun-Times
Paul Vallas Announces 2023 Run for Chicago Mayor,NBC Chicago
"Mayoral Endorsements: Black Alderpeople Back Paul Vallas, State Rep. Kam Buckner Backs Brandon Johnson",Block Club Chicago
Garcia backing Johnson for Chicago mayor,POLITICO
Former mayoral challenger Ja'Mal Green endorses Vallas in runoff; Kwame Raoul first statewide official to back Johnson,Chicago Sun-Times
"Ald. Sophia King endorses Vallas, who holds edge in new poll",Crain's Chicago Business
"Wilson endorses Vallas, cites concerns over tax increases, Johnson's statements on 'defunding' police",Chicago Sun-Times
Lightfoot calls out Paul Vallas for winning FOP endorsement: 'so much for being a lifelong Democrat',FOX 32 Chicago
"6 South And West Side Alderpeople Endorse Paul Vallas, Banking On Him To Cut Crime And Boost Policing",Block Club Chicago
"Stacy Davis Gates won't run for mayor, but CTU ally Brandon Johnson hints at imminent announcement",Chicago Sun-Times
Arne Duncan endorses Vallas,POLITICO
Ald. Tom Tunney Endorses Paul Vallas in Chicago Mayoral Race,NBC Chicago
"Garcia questions whether Johnson, a CTU organizer, can be an objective mayor",Chicago Sun-Times
Vallas Faces Questions About Whether He Lives in Chicago as Officials Launch Probe of Tax Breaks,WTTW News
Johnson Becomes Focus of Attacks as Mayor's Race Enters Homestretch Amid Swirl of Dark Money,WTTW News
Chicago mayor election: Paul Vallas responds to attack ads questioning his Democratic status,ABC7 Chicago
Brandon Johnson Accuses Chuy Garcia of 'Abandoning the Progressive Movement',NBC Chicago
"Chicago Mayoral Election: Latest poll shows Paul Vallas widening lead, no clear 2nd place candidate",ABC7 Chicago
"Chicago mayoral election: New poll shows Lightfoot in third behind Vallas, Johnson",FOX 32 Chicago
"Chicago Mayoral Poll Shows Vallas Ahead, Could Indicate Lengthy Battle for 2nd That Could Extend Past Election Day",NBC Chicago
"2023 Elections Sarandon, Epps back Green; Johnson enters mayoral race - Windy City Times News",Windy City Times
Rep. Jonathan Jackson endorses mayoral challenger Brandon Johnson,Chicago Sun-Times
Cook County Commissioner Brandon Johnson Is Running For Chicago Mayor: 'We Are Going To Bring A Revival To This City',Block Club Chicago
Rogers Park Ald. Maria Hadden Endorses Brandon Johnson In Mayoral Race,Block Club Chicago
Ravenswood Ald. Matt Martin Endorses Brandon Johnson For Mayor,Block Club Chicago
IFT Endorses Brandon Johnson for Chicago Mayor,IFT
"Chicago Teachers Union Endorses Brandon Johnson for Mayor, Urges Him to Make Bid Official",WTTW News
"ALD. PAT DOWELL, CHAIR OF CITY COUNCIL BUDGET COMMITTEE, ENDORSES COMMISSIONER BRANDON JOHNSON FOR MAYOR",Chicago Defender
SEIU Healthcare Illinois Becomes Latest Union to Back Brandon Johnson for Mayor,WTTW News
Progressive challenger Brandon Johnson lands another big union endorsement,Chicago Tribune
