ward_id,Total Pop (Race),White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or other Pacific Islander,Other Race,Two or More Races,Hispanic or Latino (Total),Not Hispanic or Latino,Hispanic or Latino,Total Pop (Rent),Voting-Age Pop (Total),18 to 29,30 to 44,45 to 64,65+,Total Rent Burden,Proportion Rent Burdened,Proportion White,Proportion Non-White,Proportion Voting Pop 18-29,Proportion Voting Pop 30-44,Proportion Voting Pop 45-64,Proportion Voting Pop 65+,votes_total,votes_johnson,votes_vallas,proportion_johnson,proportion_vallas,winner
1,53649.0,38403.0,3248.0,76.0,3022.0,61.0,3000.0,5839.0,53649.0,39093.0,14556.0,14828.0,41798.0,12769.0,18996.0,7215.0,2818.0,4798.0,0.32357701645535475,0.7158194933735951,0.2841805066264049,0.30549308579357864,0.4544715058136753,0.17261591463706397,0.06741949375568208,17572.0,10952.0,6620.0,0.6232642840883224,0.37673571591167765,Johnson
2,60546.0,49178.0,2720.0,34.0,4366.0,35.0,1097.0,3116.0,60546.0,55856.0,4690.0,18687.0,50268.0,17031.0,14923.0,10157.0,8157.0,6040.0,0.323219350350511,0.8122419317543685,0.18775806824563146,0.3388040105037002,0.2968687833213973,0.20205697461605793,0.1622702315588446,15479.0,4115.0,11364.0,0.26584404677304735,0.7341559532269526,Vallas
3,28848.0,3131.0,22493.0,96.0,1430.0,0.0,348.0,1350.0,28848.0,27209.0,1639.0,9569.0,21820.0,5644.0,4872.0,6576.0,4728.0,4464.0,0.46650642700386663,0.10853438713255685,0.8914656128674432,0.25866177818515124,0.2232813932172319,0.3013748854262145,0.21668194317140238,13079.0,8174.0,4905.0,0.6249713280831868,0.3750286719168132,Johnson
4,58172.0,15149.0,33448.0,289.0,5721.0,7.0,1043.0,2515.0,58172.0,54466.0,3706.0,21452.0,42524.0,9182.0,11889.0,13213.0,8240.0,9570.0,0.4461122506060041,0.26041738293337,0.73958261706663,0.21592512463549995,0.2795832941397799,0.31071865299595525,0.19377292822876493,13740.0,9935.0,3805.0,0.7230713245997089,0.27692867540029115,Johnson
5,54834.0,13938.0,33449.0,112.0,4110.0,0.0,709.0,2516.0,54834.0,52563.0,2271.0,19828.0,42382.0,12352.0,9759.0,12194.0,8077.0,10175.0,0.5131632035505346,0.25418535944851733,0.7458146405514827,0.29144448114765703,0.23026284743523193,0.28771648341276956,0.19057618800434148,12255.0,9333.0,2922.0,0.7615667074663403,0.23843329253365972,Johnson
6,45934.0,452.0,44058.0,16.0,64.0,0.0,166.0,1178.0,45934.0,45331.0,603.0,12074.0,34417.0,7108.0,7860.0,12145.0,7304.0,6976.0,0.5777704157694219,0.009840205512256716,0.9901597944877433,0.2065258447860069,0.22837551210157772,0.3528779382282012,0.21222070488421418,11231.0,9054.0,2177.0,0.806161517229098,0.19383848277090196,Johnson
7,42296.0,2326.0,38554.0,20.0,152.0,0.0,676.0,568.0,42296.0,40433.0,1863.0,11942.0,31105.0,6916.0,8512.0,9876.0,5801.0,6397.0,0.535672416680623,0.054993379988651406,0.9450066200113486,0.22234367465037774,0.2736537534158495,0.3175052242404758,0.1864973476932969,9756.0,7734.0,2022.0,0.7927429274292743,0.2072570725707257,Johnson
8,55133.0,829.0,52761.0,11.0,147.0,27.0,399.0,959.0,55133.0,54488.0,645.0,12445.0,43719.0,8293.0,9858.0,14829.0,10739.0,6187.0,0.49714744877460826,0.015036366604393014,0.984963633395607,0.18968869370296668,0.2254854868592603,0.33918891099979415,0.24563690843797892,13006.0,10438.0,2568.0,0.8025526679993849,0.1974473320006151,Johnson
9,49660.0,2153.0,45672.0,11.0,113.0,0.0,874.0,837.0,49660.0,47500.0,2160.0,9429.0,36049.0,8339.0,8798.0,11684.0,7228.0,4873.0,0.5168098419768798,0.04335481272654047,0.9566451872734595,0.23132403117978306,0.24405670060195844,0.3241143998446559,0.2005048683736026,11096.0,8703.0,2393.0,0.7843366979091565,0.21566330209084356,Johnson
10,57451.0,26860.0,13583.0,482.0,238.0,0.0,11142.0,5146.0,57451.0,21372.0,36079.0,8525.0,36253.0,8258.0,9733.0,11130.0,7132.0,3876.0,0.45466275659824046,0.4675288506727472,0.5324711493272528,0.2277880451272998,0.26847433315863517,0.3070090751110253,0.19672854660303976,8620.0,2714.0,5906.0,0.3148491879350348,0.6851508120649652,Vallas
11,57329.0,25533.0,3762.0,407.0,20222.0,8.0,4649.0,2748.0,57329.0,44886.0,12443.0,10797.0,38832.0,9079.0,11708.0,11096.0,6949.0,4032.0,0.37343706585162545,0.44537668544715586,0.5546233145528441,0.23380201895344047,0.30150391429748663,0.2857437165224557,0.17895035022661723,12771.0,3347.0,9424.0,0.262078145799076,0.7379218542009239,Vallas
12,59218.0,20889.0,7741.0,598.0,6970.0,81.0,18415.0,4524.0,59218.0,20630.0,38588.0,7849.0,35277.0,11868.0,9825.0,9565.0,4019.0,3788.0,0.48260924958593454,0.352747475429768,0.6472525245702321,0.33642316523513904,0.278510077387533,0.27113983615386794,0.11392692122346004,5940.0,2462.0,3478.0,0.4144781144781145,0.5855218855218856,Vallas
13,58977.0,33275.0,939.0,1303.0,440.0,0.0,14840.0,8180.0,58977.0,16660.0,42317.0,4854.0,35551.0,8356.0,9930.0,11171.0,6094.0,2520.0,0.519159456118665,0.5642029943876427,0.43579700561235735,0.23504261483502573,0.2793170374954291,0.3142246350313634,0.17141571263818176,13474.0,2484.0,10990.0,0.1843550541784177,0.8156449458215823,Vallas
14,47154.0,23664.0,606.0,287.0,1667.0,36.0,14056.0,6838.0,47154.0,8311.0,38843.0,5619.0,23845.0,6717.0,6963.0,6461.0,3704.0,2931.0,0.5216230646022424,0.5018450184501845,0.4981549815498155,0.2816942755294611,0.29201090375340744,0.27095827217446006,0.15533654854267143,4503.0,1865.0,2638.0,0.41416833222296245,0.5858316677770375,Vallas
15,39527.0,13719.0,7065.0,411.0,1200.0,18.0,12487.0,4627.0,39527.0,9963.0,29564.0,6593.0,20024.0,6397.0,4890.0,5231.0,3506.0,3278.0,0.49719399362960714,0.34707921167809347,0.6529207883219066,0.3194666400319616,0.24420695165801037,0.2612365161805833,0.17508989212944467,4631.0,2223.0,2408.0,0.48002591232995034,0.5199740876700497,Vallas
16,44845.0,9991.0,21953.0,543.0,118.0,41.0,8843.0,3356.0,44845.0,23041.0,21804.0,9723.0,26737.0,6954.0,5509.0,8302.0,5972.0,5497.0,0.5653604854468786,0.22278960865202363,0.7772103913479764,0.26008901522235106,0.20604405879492838,0.3105060403186595,0.22336088566406104,5627.0,4549.0,1078.0,0.808423671583437,0.191576328416563,Johnson
17,42594.0,4506.0,31184.0,169.0,140.0,0.0,4077.0,2518.0,42594.0,32461.0,10133.0,9671.0,29299.0,6898.0,7077.0,8868.0,6456.0,5392.0,0.5575431703029676,0.10578954782363713,0.8942104521763629,0.23543465647291717,0.24154408000273048,0.302672446158572,0.2203488173657804,8721.0,7040.0,1681.0,0.8072468753583305,0.19275312464166952,Johnson
18,71947.0,22221.0,30721.0,564.0,740.0,0.0,11537.0,6164.0,71947.0,43133.0,28814.0,4767.0,47982.0,11253.0,11366.0,16212.0,9151.0,2783.0,0.5838053282987203,0.3088523496462674,0.6911476503537326,0.234525447042641,0.23688049685298654,0.3378767037639115,0.190717352340461,12676.0,8186.0,4490.0,0.6457873146102872,0.35421268538971284,Johnson
19,80273.0,56755.0,15272.0,144.0,1553.0,14.0,2474.0,4061.0,80273.0,69879.0,10394.0,6232.0,59515.0,9798.0,14538.0,21785.0,13394.0,2729.0,0.43790115532734275,0.7070247779452618,0.29297522205473825,0.16463076535327228,0.2442745526337898,0.3660421742417878,0.22505250777115013,24556.0,6607.0,17949.0,0.2690584785795732,0.7309415214204268,Vallas
