Title,Source
"Chicago Mayor Lightfoot ousted; Vallas, Johnson in runoff",AP NEWS
"Lightfoot is out — with Vallas in strong lead, expected to face Johnson in runoff",Chicago Sun-Times
"Mayor Lori Lightfoot concedes defeat, setting stage for Chicago's mayoral race to be between Brandon Johnson and Paul Vallas",Chicago Tribune
Brandon Johnson wins Chicago mayor's race,Axios
"The big upset in the Chicago mayor's race, explained",Vox
Brandon Johnson joining crowded race for Chicago mayor,Chicago Sun-Times
Paul Vallas Announces 2023 Run for Chicago Mayor,NBC Chicago
"Mayoral Endorsements: Black Alderpeople Back Paul Vallas, State Rep. Kam Buckner Backs Brandon Johnson",Block Club Chicago
Garcia backing Johnson for Chicago mayor,POLITICO
Chuy's in: Garcia makes another run for mayor of Chicago,Chicago Sun Times
Former mayoral challenger Ja'Mal Green endorses Vallas in runoff; Kwame Raoul first statewide official to back Johnson,Chicago Sun-Times
Community Activist Ja'Mal Green Enters 2023 Chicago Mayoral Race,www
"Ald. Sophia King endorses Vallas, who holds edge in new poll",Crain's Chicago Business
Alderman Sophia King announces run for Chicago mayor – ABC 7,abc7chicago
"Lightfoot focused on safer Chicago, reelection after 'relatively mild' COVID bout",WGN-TV
Dueling endorsements in race for mayor,Chicago Sun-Times
"Ald. Roderick Sawyer Is Running For Mayor, Following In His Father's Footsteps",Block Club Chicago
"Wilson endorses Vallas, cites concerns over tax increases, Johnson's statements on 'defunding' police",Chicago Sun-Times
Willie Wilson joins 2023 race for mayor,Chicago Sun-Times
Here's who's running for Chicago mayor,WBEZ Chicago
Sawyer to stay on ballot after Wilson ally drops petition challenge,Chicago Sun-Times
Veteran Chicago cop jumps into mayor's race,Chicago Sun-Times
"Chicago police union boss leaves CPD, announces bid for mayor",Crain's Chicago Business
Chicago FOP President John Catanzara says he won't challenge Lightfoot in 2023 mayoral election,abc7chicago
Lightfoot calls out Paul Vallas for winning FOP endorsement: 'so much for being a lifelong Democrat',Fox32 Chicago
Illinois Dems unite — against Trump,Politico
"Mayoral election in Chicago, Illinois (2023)",Ballotpedia
Raymond Lopez launches bid for Chicago mayor,POLITICO
"Ald. Raymond Lopez, One Of Lori Lightfoot's Fiercest Critics, Is Running For Mayor",Block Club Chicago
"Ald. Raymond Lopez bows out of mayor race, will seek reelection to City Council",Chicago Tribune
Lopez endorses Willie Wilson for mayor,Chicago Sun Times
"6 South And West Side Alderpeople Endorse Paul Vallas, Banking On Him To Cut Crime And Boost Policing",Block Club Chicago
An early look at the race for mayor of Chicago,Chicago Sun-Times
"Bill Conway, Former Cook County State's Attorney Candidate, Launches Bid for Alderman of a New Downtown Ward",Block Club Chicago
"Stacy Davis Gates won't run for mayor, but CTU ally Brandon Johnson hints at imminent announcement",Chicago Sun-Times
Arne Duncan cracks the door open to 2023 race for mayor against Lightfoot,Chicago Sun-Times
Arne Duncan won't run for mayor,Chicago Sun-Times
Arne Duncan endorses Vallas,Politico
Buckner makes his play for Chicago mayor,POLITICO
Will La Shawn Ford run for Chicago mayor again in 2023?,Chicago Sun-Times
Former CPS chief Janice Jackson rules out running for mayor,Chicago Sun-Times
